,zone,mean,std,min,max,var,time,spectral_index
0,0,0.15440365547016527,0.33359732454034857,-0.9987797141075134,0.9972413182258606,0.11128717494047864,2021-01-05 05:02:09.024,NDWI
1,1,-0.19650179056020883,0.055678712359991715,-0.38906756043434143,-0.129757821559906,0.003100119010066694,2021-01-05 05:02:09.024,NDWI
2,2,-0.17802349003878506,0.021043356782317005,-0.2358286827802658,-0.14001986384391785,0.0004428228646678871,2021-01-05 05:02:09.024,NDWI
3,3,-0.2286869003659203,0.04003532545735172,-0.3426573574542999,-0.17606447637081146,0.0016028272844760747,2021-01-05 05:02:09.024,NDWI
4,4,-0.1683055070730356,0.022873039280616618,-0.2344689518213272,-0.1192266196012497,0.0005231759259326308,2021-01-05 05:02:09.024,NDWI
5,5,-0.1734078453808296,0.020390387001328215,-0.23953098058700562,-0.13649976253509521,0.0004157678820639346,2021-01-05 05:02:09.024,NDWI
6,6,-0.17075961828231812,0.03335596394300699,-0.27385571599006653,-0.13350126147270203,0.0011126203305671823,2021-01-05 05:02:09.024,NDWI
7,7,-0.23083437056768508,0.07332284081613438,-0.42775392532348633,-0.09899890422821045,0.005376238985348183,2021-01-05 05:02:09.024,NDWI
8,8,-0.20226447582244872,0.04441681526419669,-0.3396417796611786,-0.16139495372772217,0.0019728534782137764,2021-01-05 05:02:09.024,NDWI
9,9,-0.17204171732852333,0.03420793968894994,-0.22664836049079895,-0.100091852247715,0.0011701831377628363,2021-01-05 05:02:09.024,NDWI
10,10,-0.20828816095987956,0.032873060650333054,-0.29746443033218384,-0.16471099853515625,0.0010806381165204752,2021-01-05 05:02:09.024,NDWI
11,11,-0.19982803889683315,0.03783755817760029,-0.31095629930496216,-0.13831479847431183,0.0014316808088432862,2021-01-05 05:02:09.024,NDWI
12,12,-0.10898766063508533,0.0575831996515362,-0.22497054934501648,-0.022701479494571686,0.003315824882108679,2021-01-05 05:02:09.024,NDWI
13,13,-0.09374550410679408,0.08702968775181212,-0.26567599177360535,0.026606066152453423,0.007574166550177917,2021-01-05 05:02:09.024,NDWI
14,14,-0.2295483619936051,0.09469018886758372,-0.48319634795188904,-0.08002784103155136,0.008966231867778677,2021-01-05 05:02:09.024,NDWI
15,15,-0.18857038021087646,0.024133678180155164,-0.25117671489715576,-0.1465863585472107,0.0005824344225032974,2021-01-05 05:02:09.024,NDWI
